miRNAs	n_geneset	hyper_pval
dme-miR-958-5p	4	0.04330881423972904
dme-miR-9382-3p	0	
dme-miR-4915-5p	1	0.7934661906304883
dme-miR-962-5p	1	0.7563068700638474
dme-miR-31a-5p	1	0.5972519919140854
dme-miR-31b-5p	1	0.5880815255495253
dme-miR-9384-5p	2	0.2699435854611824
dme-miR-305-3p	1	0.6126314253137555
dme-miR-275-5p	0	
dme-miR-4952-5p	0	
dme-miR-193-3p	2	0.10626658460352649
dme-miR-288-3p	2	0.5958461151247161
dme-miR-2b-1-5p	2	0.6572553091503855
dme-miR-2b-2-5p	1	0.8979371720286606
dme-miR-4908-3p	4	0.042527634311701604
dme-miR-4956-5p	1	0.5344175886344972
dme-miR-2a-2/2c	0	
dme-miR-1008-3p	1	0.5306105108112807
dme-miR-4964-3p	0	
dme-miR-279-5p	5	0.03623497058718389
dme-miR-4987-5p	1	0.7964821976119733
dme-miR-996-5p	1	0.6181538994069025
dme-miR-4962-5p	1	0.6518894545562274
dme-miR-14-5p	0	
dme-miR-985-5p	0	
dme-miR-92a-3p	1	0.9377663571471664
dme-miR-92b-3p	1	0.9374919331321457
dme-miR-310-3p	1	0.9353963422089007
dme-miR-311-3p	1	0.9380396225590472
dme-miR-312-3p	2	0.7586479444107349
dme-miR-313-3p	1	0.9385826962186201
dme-miR-1007-5p	2	0.3372811074007161
dme-miR-4918-5p	1	0.7024593380926276
dme-miR-4912-5p	0	
dme-miR-304-5p	0	
dme-miR-971-5p	1	0.7317920942916281
dme-miR-125-5p	0	
dme-miR-976-3p	3	0.4505926540411045
dme-miR-993-3p	0	
dme-miR-988-3p	1	0.4026216518370077
dme-miR-252-3p	4	0.03569335068746181
dme-miR-1015-3p	0	
dme-miR-313-5p	2	0.35994791020705846
dme-miR-iab-4-3p	1	0.781425408334709
dme-miR-4970-5p	2	0.16511409643713226
dme-miR-4962-3p	0	
dme-miR-4957-5p	0	
dme-miR-4940-3p	0	
dme-miR-975-5p	3	0.31789075386165533
dme-miR-13b-2-5p	0	
dme-miR-983-5p	3	0.36415915634229384
dme-miR-375-3p	7	0.01869091733453401
dme-miR-4957-3p	0	
dme-miR-4919-5p	0	
dme-miR-9376-5p	0	
dme-miR-984-3p	0	
dme-miR-980-3p	0	
dme-miR-4968-5p	0	
dme-miR-4976-3p	1	0.49803928684890464
dme-miR-307a-5p	0	
dme-miR-9383-5p	0	
dme-miR-190-3p	0	
dme-miR-979-3p	1	0.6037977827439241
dme-miR-9376-3p	0	
dme-miR-976-5p	1	0.851492354142975
dme-miR-306-5p	1	0.3730231210259705
dme-miR-9380-5p	2	0.22632914198990486
dme-miR-4981-3p	2	0.132900605197703
dme-miR-4942-3p	0	
dme-miR-9375-3p	0	
dme-miR-4948-5p	0	
dme-miR-974-5p	0	
dme-miR-276a-5p	1	0.3218952938482412
dme-miR-276b-5p	1	0.3218952938482412
dme-miR-2535b-3p	0	
dme-miR-970-5p	0	
dme-miR-282-3p	0	
dme-miR-307b-5p	0	
dme-miR-2490-5p	0	
dme-miR-9370-3p	2	0.10500965486536847
dme-miR-9385-3p	0	
dme-miR-286-5p	1	0.7103695705006676
dme-miR-219-5p	1	0.812130015762979
dme-miR-1010-5p	1	0.7432642234268512
dme-miR-184-5p	3	0.20997193065743594
dme-miR-929-3p	0	
dme-miR-100-3p	0	
dme-miR-4971-5p	1	0.5897636819381823
dme-miR-311-5p	0	
dme-miR-1016-3p	0	
dme-miR-991-5p	1	0.7103695705006676
dme-miR-969-5p	1	0.6204974286150392
dme-miR-306-3p	0	
dme-miR-4951-5p	2	0.08142256266290125
dme-miR-999-5p	1	0.6518894545562274
dme-miR-184-3p	0	
dme-miR-92a-5p	0	
