miRNAs	n_geneset	hyper_pval
dme-miR-4987-5p	4	0.02783819819723946
dme-miR-996-5p	0	
dme-miR-4962-5p	1	0.5558221834678382
dme-miR-14-5p	2	0.0773371841048487
dme-miR-985-5p	2	0.1497163710217413
dme-miR-92a-3p	7	0.0025337423725016045
dme-miR-92b-3p	7	0.0025118274926804796
dme-miR-310-3p	7	0.00235218125474991
dme-miR-311-3p	7	0.002555807451117309
dme-miR-312-3p	7	0.0026342284454964823
dme-miR-313-3p	7	0.0026003910844594985
dme-miR-1007-5p	2	0.2337773591747019
dme-miR-4918-5p	0	
dme-miR-4912-5p	2	0.24518664688127836
dme-miR-304-5p	1	0.6371133713734837
dme-miR-971-5p	4	0.015094246273459918
dme-miR-125-5p	0	
dme-miR-976-3p	3	0.2914432786373334
dme-miR-993-3p	1	0.425959867711642
dme-miR-988-3p	1	0.3271412771779706
dme-miR-252-3p	0	
dme-miR-1015-3p	0	
dme-miR-313-5p	0	
dme-miR-iab-4-3p	1	0.6894588560656908
dme-miR-4970-5p	1	0.43486816903103864
dme-miR-4962-3p	0	
dme-miR-4957-5p	2	0.07428616858772193
dme-miR-4940-3p	0	
dme-miR-975-5p	0	
dme-miR-13b-2-5p	0	
dme-miR-983-5p	3	0.22538436607090828
dme-miR-375-3p	4	0.16814232620249564
dme-miR-4957-3p	0	
dme-miR-4919-5p	1	0.4132638839959208
dme-miR-9376-5p	0	
dme-miR-984-3p	0	
dme-miR-980-3p	2	0.25033383304832985
dme-miR-4968-5p	2	0.25777989731223305
dme-miR-4976-3p	0	
dme-miR-307a-5p	0	
dme-miR-9383-5p	0	
dme-miR-190-3p	0	
dme-miR-979-3p	0	
dme-miR-9376-3p	0	
dme-miR-976-5p	4	0.048380658125202626
dme-miR-306-5p	0	
dme-miR-9380-5p	0	
dme-miR-4981-3p	1	0.3918252717561817
dme-miR-4942-3p	1	0.5077953323110634
dme-miR-9375-3p	2	0.23320810377418272
dme-miR-4948-5p	1	0.36174999478357395
dme-miR-974-5p	1	0.2718676196905383
dme-miR-276a-5p	1	0.25824904262053033
dme-miR-276b-5p	1	0.25824904262053033
dme-miR-2535b-3p	0	
dme-miR-970-5p	0	
dme-miR-282-3p	2	0.06538727716876251
dme-miR-307b-5p	0	
dme-miR-2490-5p	0	
dme-miR-9370-3p	0	
dme-miR-9385-3p	1	0.46670036968899875
dme-miR-286-5p	0	
dme-miR-219-5p	0	
dme-miR-1010-5p	1	0.6485486683997209
dme-miR-184-5p	2	0.3477011277783943
dme-miR-929-3p	0	
dme-miR-100-3p	1	0.22552518342719408
dme-miR-4971-5p	2	0.14444471928456076
dme-miR-311-5p	0	
dme-miR-1016-3p	0	
dme-miR-991-5p	1	0.6144055649469325
dme-miR-969-5p	0	
dme-miR-306-3p	0	
dme-miR-4951-5p	0	
dme-miR-999-5p	1	0.5558221834678382
dme-miR-184-3p	1	0.24205486982033253
dme-miR-92a-5p	0	
dme-miR-4969-3p	0	
dme-miR-2496-3p	0	
dme-miR-963-5p	0	
dme-miR-275-3p	0	
dme-miR-375-5p	4	0.0069048190101608335
dme-miR-307b-3p	0	
dme-miR-960-3p	2	0.07342204190812948
dme-miR-1007-3p	2	0.12686688469286764
dme-miR-992-5p	1	0.43839458445559976
dme-miR-4987-3p	0	
dme-miR-9385-5p	2	0.17611174922425385
dme-miR-982-5p	0	
dme-miR-2495-3p	0	
dme-miR-4952-3p	0	
dme-miR-994-5p	1	0.6612759887712029
dme-miR-2500-5p	1	0.6324410116383479
dme-miR-87-5p	0	
dme-miR-282-5p	0	
dme-miR-4954-5p	1	0.14942199316247826
dme-miR-957-3p	1	0.4641842160964065
dme-miR-4974-5p	0	
dme-miR-4941-5p	0	
dme-miR-986-3p	0	
dme-miR-285-3p	0	
dme-miR-995-3p	0	
dme-miR-998-3p	0	
dme-miR-100-5p	0	
